Customer_name,User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Target
Lm9Ef0Nc9Uh9Af6V,1861,3965.5,Bank Transfer,16,Tablet,bangalore,3,100,1,Credit Card,0
Hl1Hi4Ct7Lh5Dy6T,3615,3157.63,Bank Transfer,,Desktop,chennai,3,4,9,,0
Vz0Rq6Vn0Zh7Ku3I,2083,2096.54,ATM Withdrawal,11,Mobile,pune,4,54,9,UPI,0
Vu3Yj2Ct1Zr0Xx9N,1649,1952.69,POS Payment,14,Desktop,delhi,2,72,6,UPI,0
Nh1Ta8Nm8Oz4Oe2S,1038,602.31,Bill Payment,16,Mobile,kolkata,2,16,3,Debit Card,0
Em4Bo2In3Ch0Si7L,4611,3898.32,Online Purchase,13,Desktop,,3,101,14,Credit Card,0
Il1Hf8Wd8Pz3Yx1P,4120,3806.74,ATM Withdrawal,6,Tablet,delhi,4,89,8,,0
Mh5Zf0Ja3Wr6Bh4X,4491,1235.26,ATM Withdrawal,23,Desktop,delhi,4,41,6,Credit Card,0
Tr0Gs3Hg5Wy0Om1W,1636,49997.8,Online Purchase,22,Desktop,pune,2,44,13,Debit Card,0
Yl3Vy3Jh9Go4Sv0P,2036,2947.07,ATM Withdrawal,14,Mobile,delhi,2,31,14,UPI,0
Jx6Ok6Ot7My2Ri8C,1035,2396.04,Bill Payment,11,Tablet,hydrabad,0,7,13,Debit Card,0
Pj3Ch1Sq6Ji4Sz4T,3148,92.39,POS Payment,1,Tablet,kolkata,4,22,4,UPI,0
Dg6Fj4Hq8Rd3Nb9H,4865,1916.79,POS Payment,14,Mobile,pune,0,35,12,Credit Card,0
Te9Ir1Qe4Bl2Df3H,4157,3205.15,Bill Payment,21,Tablet,hydrabad,3,52,14,UPI,0
Ad1Tc1Sv8Js1Le7R,4587,,Bill Payment,7,Desktop,chennai,3,10,10,Net Banking,0
Jo8Ym8Ar6Rw2Ro4P,4294,2300.54,POS Payment,23,Mobile,pune,0,33,2,Net Banking,0
Oa4Jj6Ou1Yf5Oq5N,2361,4967.21,Bill Payment,15,Tablet,pune,0,54,11,Credit Card,0
Hx4Vv2Ou0Qq7Kv8N,2983,3584.11,ATM Withdrawal,23,Desktop,kolkata,3,52,13,Net Banking,0
Kj2Jl0Fr0Tp7Ng8F,1165,2736.62,POS Payment,2,Tablet,kolkata,2,97,13,Credit Card,0
Fj9Et2Yy3Cm9Fm4O,3430,2667.5,Online Purchase,17,Desktop,hydrabad,3,99,12,Net Banking,0
Nc2Jt8Ni5Zy0Fh6I,2879,223.61,Online Purchase,12,Mobile,delhi,2,75,7,UPI,0
Pt8Rp1Xq1Ow8Qe7Z,4966,4786.79,Bill Payment,17,Desktop,,2,100,6,UPI,0
Da8Jv8Re9Xn0Qs4D,4447,4641.25,Online Purchase,18,Mobile,chennai,3,22,2,UPI,0
Xr0Wz7Mv8Ki3Tl7F,4542,3413.61,Online Purchase,4,,Ahmedabad,1,33,7,,0
Tf9Rl9Hi5Pz1Oe0U,3837,499.56,POS Payment,19,Mobile,hydrabad,4,73,4,UPI,0
Su5Rn3Xc1Qg7Wd5O,4713,1043.13,ATM Withdrawal,0,Desktop,delhi,1,70,8,Credit Card,0
Ml8Ru2Fw2Ff5Om3Z,1030,,Bank Transfer,0,Tablet,bangalore,1,6,3,Debit Card,0
Lj9Bs5Dl0Dr3Aj8E,4446,2600.29,Online Purchase,5,Desktop,chennai,3,85,5,Net Banking,0
Ev7Au7Qz5Uo7Eg1G,1010,,Bill Payment,22,Desktop,delhi,0,119,9,Debit Card,0
Mm2Sh2Zo8Bb1Jl7I,3011,3480.52,Bank Transfer,9,Unknown Device,hydrabad,2,40,6,Debit Card,0
Hb8Cw0Po5Zc7Fr8J,4373,2728.42,Online Purchase,11,Tablet,bangalore,2,31,11,Credit Card,0
Kx8Rd2Do8Cz7Vf0H,3143,93.2,ATM Withdrawal,2,Tablet,,0,2,9,UPI,0
Vj1Se6Kc4Qe7Hw2K,4261,3721.57,Online Purchase,14,Mobile,pune,2,56,9,Credit Card,0
Lu2Zo5Lh8Zf3Ch7W,3500,948.2,Bill Payment,8,Tablet,bangalore,3,24,9,Invalid Method,0
Mt9Hx3Az6Gg3Sg7G,3239,4125.3,ATM Withdrawal,10,Tablet,hydrabad,0,34,7,Net Banking,0
Hn2Yd6Rg6Te4Rd9F,1485,1778.45,Bill Payment,10,Tablet,chennai,3,57,12,Credit Card,0
Xw5Vi0Kk4Qi2Rb7I,2289,1696.41,Bill Payment,5,,delhi,1,110,3,Net Banking,0
Xu0Tg4Qe4He2He9C,2447,64.03,Bill Payment,3,Tablet,Ahmedabad,4,101,6,Credit Card,0
Ks6Tu7Ge5Xe9Zb0A,4199,4938.71,Bill Payment,18,Desktop,Ahmedabad,0,105,8,Debit Card,0
Tl3Mf6Tr2Xz2Yo7V,3285,3061.96,Bill Payment,20,Tablet,kolkata,0,62,8,UPI,0
Cu0Rp6Hv3Ma9Ra6W,2943,,ATM Withdrawal,,Tablet,kolkata,3,73,13,Net Banking,0
Qp1Mt1Xh0Ql0Nk9Z,4426,487.62,POS Payment,22,,mumbai,4,7,3,Credit Card,0
Cb5Lc4Es7Zn9Tl0G,2963,3497.24,ATM Withdrawal,11,Desktop,hydrabad,1,31,13,Credit Card,0
Cu2Zt5By2Sb6Dq3N,4183,1417.24,POS Payment,6,Desktop,bangalore,4,63,5,Credit Card,0
Zz4Yc6Rc7Go1Io3V,2851,4941.46,ATM Withdrawal,6,Tablet,kolkata,3,23,10,Net Banking,0
Fx7Yz9Ck8Pz8To7D,2469,4752.98,Bill Payment,12,Desktop,delhi,1,71,7,Debit Card,0
Vk7Po2Ud5Jz1Cd6A,2366,3677.81,ATM Withdrawal,3,Tablet,delhi,2,97,12,Net Banking,0
Pg0Sv5Bb5Zr9Zp5W,4216,4855.5,ATM Withdrawal,6,Desktop,Ahmedabad,1,50,1,UPI,0
Xh5Fk2Al7Ey1Jw7R,4136,532.64,POS Payment,14,Tablet,pune,2,18,8,UPI,0
Xt4Ci4Bi6Ce9Pk8H,4318,1403.18,ATM Withdrawal,8,Mobile,bangalore,3,55,2,Debit Card,0
Tk1Hy4Im9Oi0Pb3V,3782,1269.95,ATM Withdrawal,14,Mobile,pune,3,92,9,Net Banking,0
Mm4Ee2Jj9Wh0Gh1R,1990,364.7,Online Purchase,21,Tablet,delhi,1,88,6,Net Banking,0
Tk5Gc1Dy2Mm4Af0I,4561,4861.27,Bill Payment,10,Tablet,delhi,4,67,7,Net Banking,0
Yl5Hx1Au9Pc6Pc8O,1824,304.57,Bill Payment,2,Tablet,Ahmedabad,0,47,13,Net Banking,0
Nn0By0Do3Xj2Vp3T,2462,4284.16,Online Purchase,16,,bangalore,3,85,3,Credit Card,0
Rg1Es2Tq5Xf8Np0C,3153,3841.97,ATM Withdrawal,8,Tablet,mumbai,4,27,4,Invalid Method,0
Sq8Pa5Lf2Pf7Rg2Y,3228,1882.46,Bank Transfer,1,Tablet,pune,1,55,7,Credit Card,0
Fh1Dy9Ci1Uf7Na5E,3231,98.94,ATM Withdrawal,13,Desktop,delhi,4,44,4,Credit Card,0
Dp9Ai9Me6Xh4Bu7N,1225,35.45,Bill Payment,18,Desktop,chennai,4,115,14,UPI,0
Mc4Kr2Fe1Ia5Nk7U,1776,1023.95,ATM Withdrawal,7,Tablet,pune,4,20,2,Net Banking,1
Gs6To9Xd8Bo4Li3P,3837,2471.91,Bank Transfer,21,Mobile,Ahmedabad,2,47,6,UPI,0
Lw4Ww2Rc7Mf7Iy8S,4980,2292.26,Online Purchase,11,Mobile,kolkata,2,25,10,Debit Card,0
Wj3Cf7Db0Yj9Mx7B,2112,2928.54,Bill Payment,3,Tablet,Ahmedabad,4,40,10,Net Banking,0
Ts8Jb9Yy3Xh4Rb4U,1687,3860.94,Bank Transfer,6,Mobile,Ahmedabad,3,100,5,UPI,1
Je1Ws7Sx2Nf8Jf3O,1529,1889.89,Bank Transfer,21,,chennai,3,8,4,Net Banking,0
Kt8Rl4Ga2Ii8Uz9F,4442,806.02,Bank Transfer,8,Mobile,kolkata,2,71,4,Net Banking,0
Rz7Fn5Gl2Tu2Tq5F,1971,4001.24,POS Payment,1,Desktop,delhi,3,78,5,,0
Gj4Tj3Bs2Vl2Xv5L,1935,1666.79,Online Purchase,20,Desktop,chennai,1,100,5,Credit Card,0
Vk0Tf9Hr5Ox5Fu0W,4984,1437.98,Bill Payment,17,Mobile,bangalore,4,113,6,Net Banking,0
Jv6Cc9Rl3Ps8No0H,2422,3822.74,Online Purchase,0,Mobile,mumbai,4,47,13,Debit Card,0
Ga4Fc2Tp7At9Gr6G,3153,4671.03,POS Payment,13,Mobile,chennai,0,108,10,Debit Card,0
Wf2Kw9Eq4Ut8Bc1B,2294,4575.23,Bill Payment,16,,bangalore,2,95,12,Credit Card,0
Xj2Xz4Rk4Sp8Ya8X,2998,691.52,ATM Withdrawal,1,Desktop,kolkata,1,116,5,Net Banking,0
Wt7Vy1Ya1Nz9Hh3M,3878,2518.27,Online Purchase,22,Desktop,Ahmedabad,2,69,13,Net Banking,0
Ah0Ko6Fk8Bt6La4L,2526,468.89,POS Payment,,,bangalore,3,100,6,Net Banking,0
Jh2Mc7Dj3Nr6Ql7E,1678,4805.07,ATM Withdrawal,19,Desktop,chennai,1,82,11,Debit Card,0
Si6Aa2He6Ar4He2U,4596,1080.06,POS Payment,6,Desktop,mumbai,3,5,3,Net Banking,0
Ib8Ri8Vy5Gk3Bb7T,3896,991.16,Bill Payment,15,Desktop,kolkata,2,87,7,Net Banking,0
Ap3Nh4Ed1Dr8Ao7S,4103,4444.98,Online Purchase,3,Unknown Device,kolkata,3,88,8,,1
Ag6Lo5Fg2Ow2Wi4X,3440,4839.41,POS Payment,14,Tablet,kolkata,3,26,11,Debit Card,0
Uo7Mh9Cu3Qp1Ud7N,1039,3489.67,Bill Payment,9,Desktop,kolkata,2,79,7,Net Banking,0
Vu6Hb5Xh9Ir5Df3F,3707,609.42,POS Payment,9,Mobile,Ahmedabad,3,48,4,Invalid Method,0
Qz1Sj6Uq5Qm6Hf5V,4289,2431.85,Bank Transfer,9,Tablet,Ahmedabad,1,113,2,Net Banking,0
Oo2Vc2Cv2Yj1Lp2X,4802,4083.94,Online Purchase,21,Desktop,hydrabad,4,100,13,Net Banking,0
Uh4Qq3Fj2Wu2Kl4P,4028,2864.52,Bank Transfer,15,Desktop,kolkata,3,69,1,Debit Card,0
Lr8Ef2Wk7Is4Fn8Z,2105,667.31,POS Payment,6,Mobile,delhi,1,92,2,UPI,0
Hi6Ky6Ln0Fl3Cz6V,1844,863.58,ATM Withdrawal,7,Mobile,chennai,0,114,11,UPI,0
Qd5Po8Kq8Us0Yb3Z,2743,4321.39,Bill Payment,18,Desktop,kolkata,4,6,14,Debit Card,0
Gu5Wg9Nf2Vk2Wa4F,3248,2637.51,ATM Withdrawal,10,Mobile,Ahmedabad,3,30,1,,0
Mc3Dl2Sq5Pc9Bu5P,1446,3530.65,ATM Withdrawal,12,Mobile,bangalore,3,8,9,UPI,0
Ig1Zn9Gt6Pj6Zp2Q,4915,1868.45,Bank Transfer,6,Desktop,,3,28,14,Debit Card,0
Ba3Fo6Nk1Rx9Pz9I,4499,2664.77,Bill Payment,12,Desktop,bangalore,2,58,1,Credit Card,0
Dx5Gs5Mh4If2Wa3C,4109,4885.63,POS Payment,9,Tablet,hydrabad,1,3,9,Invalid Method,0
Oh6Wv4Cd6Lq7St7D,2234,1651.87,POS Payment,6,Desktop,bangalore,2,74,4,Net Banking,0
Qx2Vz7Vs6Oo1Md2B,3491,3375.57,POS Payment,3,Tablet,bangalore,2,113,2,Debit Card,0
Mg3Pd0Xr3Xb3Bw7C,2350,866.67,POS Payment,15,Mobile,Ahmedabad,4,63,2,Net Banking,0
Ov1Yf4Su9Fp4Ep1R,3808,,Bank Transfer,11,Tablet,chennai,0,74,3,Credit Card,0
Px6Rn9Xf1Wu1Is6Y,1226,3919.28,Bill Payment,19,Tablet,kolkata,2,86,10,,0
Zz8Xo8Uo2Tg4Os2C,1047,4221.32,POS Payment,2,Tablet,bangalore,0,72,5,Credit Card,0
Lz5Do4Kx3Df8Jv9O,4089,3343.22,Online Purchase,6,Desktop,mumbai,4,95,2,Credit Card,0
Xd9Tt2Nd1Rr8Dw9F,3959,795.19,POS Payment,0,Desktop,chennai,4,91,13,Credit Card,0
Az2Um1Oh3Pu7Ac3K,2462,1206.74,Bank Transfer,15,Desktop,Ahmedabad,2,109,2,Credit Card,0
Hq4Yl2Rp0Fu0Vw7O,2830,4556.32,Online Purchase,21,Tablet,Ahmedabad,2,52,8,UPI,0
Iq5Do7Bi3Vy9Ht8A,4779,1447.08,ATM Withdrawal,12,Desktop,delhi,4,24,7,Net Banking,0
Tg6Pr4Xe4Jq7Li7G,1186,4095.21,Bank Transfer,3,Desktop,chennai,0,56,2,Net Banking,0
Nw6Ge1Ya6Id3Ye9W,3392,,POS Payment,1,Tablet,chennai,0,87,10,Net Banking,0
Ji2Tk7Vq3Ym1Lz9B,3271,4697.62,Bill Payment,21,Mobile,delhi,3,87,1,,0
Pg9Up0Lz7Qv8Ya8I,3877,4572.69,Bill Payment,13,Unknown Device,delhi,2,85,13,Credit Card,0
Fv9Lg4Cn5Uf8Rg8H,3535,221.1,Online Purchase,2,Unknown Device,,0,52,12,Debit Card,1
Hu9Fb7Zd1Bw7Qy7M,2932,3853.22,Bank Transfer,5,Tablet,pune,3,18,3,UPI,0
Vq6Sz3Rb0Ny9Rd9I,3924,851.46,Online Purchase,12,Tablet,hydrabad,1,82,1,Debit Card,0
Bk9Lw0Gn7Sa1Dn0Z,1848,1080.28,Online Purchase,1,Tablet,Ahmedabad,0,108,12,Credit Card,0
Mx5Dr4Uz8My1Nq3Q,3032,2301.93,Bill Payment,21,Tablet,chennai,4,71,2,Credit Card,0
Uf6Vd4Ho0Gw8Ps1C,2252,2883.71,Bank Transfer,,Tablet,kolkata,0,6,5,Net Banking,0
Vn0Xj6Xu9Zn1Rr7J,2413,1632.37,Bill Payment,7,Mobile,delhi,1,54,7,Credit Card,0
Yv1Ec4Dh3Fj6Qc9X,1978,,Bank Transfer,8,Mobile,hydrabad,0,110,14,Invalid Method,0
Ll1Lq0Hv4Os4Od6F,2612,857.44,Bill Payment,,Desktop,hydrabad,0,51,2,Credit Card,0
Gt1Xj1Lu3Xk7Kl8L,2016,116.58,Bank Transfer,2,Desktop,kolkata,2,63,4,Net Banking,0
Js9Og0Js4Jk7Nh1W,3235,2858.27,ATM Withdrawal,16,Desktop,kolkata,0,58,5,Debit Card,0
Ml3Do7Uu6Yh9Za6A,2881,2589.49,Bill Payment,9,Mobile,delhi,2,31,2,Debit Card,0
Bh6Et8Li1Ky9Oe7E,1269,3449.82,ATM Withdrawal,19,Tablet,delhi,1,16,1,UPI,0
Jn6Kn6Gh7Kd0Kc3O,2630,3250.86,Online Purchase,20,Unknown Device,chennai,1,105,7,Credit Card,0
Ng5Kv7Tz7Lo3Vn3C,1309,4487.94,Bill Payment,5,Desktop,chennai,4,55,11,UPI,0
Co2Xc5Uf2Om7Bm1S,4203,2300.05,Online Purchase,21,Mobile,hydrabad,4,60,6,Credit Card,0
Sx2Dl8Tx7Vu9Ch2Y,3043,46.81,Bill Payment,2,Mobile,Ahmedabad,0,105,4,Debit Card,0
Fh8Vb6Op8Dq8Ku7Z,2574,3155.11,Online Purchase,4,Tablet,hydrabad,2,39,13,Credit Card,0
Au5Oo6Id6Fi5Ou9O,2095,3377.29,POS Payment,22,Desktop,bangalore,3,40,12,Credit Card,0
Fj9Vu0Xv4Wa5Mf6I,4864,2609.87,Bank Transfer,7,Desktop,kolkata,2,50,13,UPI,0
Jl0Fy7Va1Gj0Ju5H,3892,3448.08,Online Purchase,23,Desktop,chennai,2,43,4,Credit Card,0
Zn5Nk9Uo2Ev8Wi7Y,2695,1621.3,Bank Transfer,14,Tablet,kolkata,4,74,8,Credit Card,0
Pb2Ek9Cj0Cc4Gh7U,4258,748.3,Online Purchase,2,Desktop,bangalore,2,31,14,Net Banking,0
Er8Uh4Qf7Vp5Gu9I,3533,3324.45,Bill Payment,17,Tablet,kolkata,3,104,11,Credit Card,0
Uu3Ce8Xp7Ff3Oe4Y,4262,1229.71,Bank Transfer,11,Tablet,chennai,1,94,2,Credit Card,0
Jf1Go0Ih3Sb5Wk5B,2445,2284.3,Bank Transfer,13,Desktop,hydrabad,3,32,13,UPI,0
Dz8Ve1Aq1We6Zl3X,3167,2460.66,ATM Withdrawal,21,Mobile,chennai,4,38,8,Debit Card,0
Rv0Od9Yy8Gk5Qu8V,1219,2388.61,Bank Transfer,8,Mobile,chennai,1,39,1,Credit Card,0
Ak7Vd9Np5Wf2Ax8Z,1052,2994.25,Bank Transfer,,Tablet,bangalore,2,21,6,Net Banking,0
Yg7Iz7Sn4Ju8Wh1C,2757,152.12,Bank Transfer,18,Tablet,pune,2,42,13,Net Banking,0
Dg7Jk8Yj2Df0Zs5I,2474,4948.46,Online Purchase,1,Desktop,chennai,2,6,11,UPI,0
Kc2Sn9It9Fd0Oe8V,4483,3582.97,POS Payment,15,Desktop,Ahmedabad,3,41,5,Credit Card,0
Rg7Pt8Qk0Pe1Tc4C,2666,,Bank Transfer,3,Mobile,Ahmedabad,1,89,6,Debit Card,0
Wt4Zb1Ru4Mz4Ut3O,2260,960.69,POS Payment,16,Mobile,kolkata,2,74,5,Debit Card,0
Lc0Dd9Pw5Ty3Wx0L,3805,405.49,Bank Transfer,18,Mobile,bangalore,2,41,10,UPI,0
Ii6Wk8Op2Oc4Bz6D,3785,3362.59,Bill Payment,17,Tablet,bangalore,1,44,14,Debit Card,0
Gv3Kn9Bd1Kd2Us7I,1719,1588.19,POS Payment,16,Tablet,chennai,1,10,12,UPI,0
Pk7Da8Bu6Xp5Bp0D,1405,1151.24,ATM Withdrawal,13,Tablet,Ahmedabad,3,34,2,Credit Card,0
Wa5Gt5Pe4Mr7Vb7L,3655,1902.87,Bank Transfer,14,Mobile,bangalore,2,65,1,UPI,0
Ld0Pj2Tu3Gk5Gi0E,4068,2966.65,Bill Payment,16,Tablet,pune,0,99,5,Debit Card,0
Ic1Xp6Ao8Ev9Yd8Z,3469,3360.17,POS Payment,5,Unknown Device,mumbai,4,5,13,UPI,0
Gh0Xw4Mi4Eh2Sy9Z,3759,3227.62,Bill Payment,5,Desktop,,0,67,8,UPI,0
Kt3Vp3Dk2Oo8Xa6N,3294,4317.01,ATM Withdrawal,12,Tablet,Ahmedabad,1,29,14,Credit Card,0
My7Ky1St5Fg6Om8L,1071,1097.69,ATM Withdrawal,11,,delhi,1,1,2,Credit Card,1
Vi1Xy5Bl2Zv2Xs3I,2853,3185.55,ATM Withdrawal,12,Mobile,kolkata,1,51,6,Debit Card,0
Dp6Uv1Je7Ar9Xt7R,3232,510.07,ATM Withdrawal,5,Tablet,delhi,1,41,11,Credit Card,0
Lb6Gn2Rl3Ha5Wo9A,3053,2741.93,Bill Payment,8,Desktop,mumbai,1,11,2,UPI,0
Dr7Hg5Rt4Bj0Qz8M,2229,2921.87,POS Payment,13,Mobile,chennai,2,9,6,Credit Card,0
Pr8Mf6Ge8Dz0Hc2C,2567,1085.11,ATM Withdrawal,21,Desktop,kolkata,3,90,7,Debit Card,0
Ae4Od6Xq4Ud7Lo4X,4682,1961.51,Bill Payment,22,Mobile,chennai,4,18,7,UPI,0
So6Ag9Qs2Oh0Aa3I,3953,4136.83,Bill Payment,2,Mobile,hydrabad,2,57,2,Net Banking,0
Eo8Wo5Ok9Bm7Iw9U,1386,746.3,POS Payment,1,Tablet,delhi,2,17,10,Net Banking,0
Xk6Jz4Kr9Pz0Dd1O,2791,2175.36,Bill Payment,23,Tablet,mumbai,4,53,1,Invalid Method,0
Xa5Jp8Ad5Mf4Kq7G,1698,4664,Online Purchase,3,Tablet,chennai,0,82,13,UPI,0
Hh0Ms6Kx6Kp9Df4I,4147,2523.02,POS Payment,1,Desktop,chennai,1,44,9,,1
Xe6Lr2Zz4Ae7Kq1B,2200,3627.04,Bill Payment,3,Tablet,Ahmedabad,3,28,2,Debit Card,0
Bq7Uc0Mg9Dv0Pk1D,1826,4135.2,Bank Transfer,12,Desktop,hydrabad,1,111,4,Net Banking,0
Um9Zj5Qz5Ki5Pr2W,2822,1022.85,Bank Transfer,,Tablet,Ahmedabad,3,50,8,UPI,0
Bs5Rf6Mo3Tx9Tu0F,1348,1095,ATM Withdrawal,8,Desktop,bangalore,3,69,7,Debit Card,0
Et9Hy2On6Ss9Eh8W,2278,3794.16,POS Payment,7,Tablet,pune,1,17,14,,0
Ow1Kj7Ko4Iz3Gz1Z,4908,,Bill Payment,17,Mobile,pune,0,88,13,UPI,0
Kd1Gv0Sv9Mm1Tn4N,4773,305.62,Bill Payment,0,Mobile,Ahmedabad,3,53,9,UPI,0
Cv1Bk0Bj5Yo1Vx0R,1307,1615.88,Online Purchase,0,Mobile,mumbai,4,112,3,Debit Card,0
Jf3Fc6Vu8Ec8Zy7A,4416,1995.67,Online Purchase,16,Mobile,kolkata,2,59,2,Credit Card,0
Xk5Jw9Rq6Co5Qw4T,2150,4146.06,ATM Withdrawal,2,,delhi,2,33,3,UPI,0
Uj0Ec4Oi9Kr0Ja8B,2960,2112.2,POS Payment,21,Mobile,delhi,3,16,8,Credit Card,0
Tl4Cs4Oc3Mb4Bo5D,3334,4630.01,ATM Withdrawal,23,Mobile,pune,1,13,12,UPI,0
Ii6Jn3Zd4Qt4Pw4L,1765,4983.06,Online Purchase,12,Tablet,pune,2,5,3,Net Banking,0
Ct4Ti7Na7Py5Um7D,1724,3904.73,Online Purchase,15,Unknown Device,,3,37,5,Credit Card,0
Hh3Uz4Jr4Kq5Hv4T,3809,3333.6,POS Payment,21,Desktop,delhi,3,118,12,UPI,0
Ip7Hb2Jj6Xk4Rg8A,2619,1962.53,ATM Withdrawal,3,Desktop,,4,3,10,Credit Card,0
Cr9Fp5Os2Yz7Zk7Z,4558,,Online Purchase,18,Desktop,kolkata,0,32,14,Invalid Method,0
Rz8Mh4Df7Cq2Ex5U,1382,2867.83,Bill Payment,21,Tablet,mumbai,0,97,10,Credit Card,0
Lo5Lj5Bx3Zs3Pq5M,4477,1811.72,Bank Transfer,8,Tablet,bangalore,0,85,12,,0
Pi5Ip0Wz7Uh1Wt7K,3435,1757.74,Online Purchase,19,Mobile,hydrabad,3,94,12,Credit Card,0
Bu3Ba2Sh6Tj7Lv9S,1524,3440.11,ATM Withdrawal,2,Mobile,chennai,0,119,12,Credit Card,0
Pg3Fl0Nd1Qb7Yv5I,4628,2320.88,Online Purchase,15,Tablet,bangalore,3,105,1,Credit Card,0
Oa4Bv9Go0Uc7Es2U,3686,3761.71,Bill Payment,20,Tablet,kolkata,2,115,9,UPI,0
Aa1Hh4Rq0Dp1Wo1U,3985,,Bank Transfer,5,Tablet,pune,3,112,9,Credit Card,0
Wa4Kq0Ff2On0Wh6C,4697,758.56,Bank Transfer,15,Desktop,pune,3,103,10,Net Banking,0
Ef1Ri8Ty1Bj7Sy4P,1275,2309.43,Bill Payment,,Mobile,kolkata,2,55,3,Net Banking,0
Ae7Yo0Jq3Zr7Ew2J,3547,4755.31,ATM Withdrawal,19,Tablet,delhi,3,15,10,Net Banking,0
Cy4Go7Xn0Qe0Nc6I,3764,4008.62,Bill Payment,12,,,4,112,6,Credit Card,0
Nx1Hy4Kb3Hh6Nf9W,1336,1032.72,Bill Payment,17,Mobile,delhi,2,54,1,Invalid Method,0
Eu1Ag3Js1Vn5Ef2D,2973,1959.55,POS Payment,10,Mobile,pune,3,57,3,Credit Card,1
Rq7Lr8Ny5Uq0Wn7V,3979,4639.32,POS Payment,23,Mobile,kolkata,0,30,8,Net Banking,0
Lx1Ts4Tl1Xn8Cj8T,1480,622.88,POS Payment,5,Tablet,bangalore,3,98,8,Net Banking,0
Yw4Xi6Qh2Og4Nk5P,4968,1273.48,Bank Transfer,14,Mobile,bangalore,1,36,8,UPI,0
Jx0As1Fb8Hl6Dn1X,1910,1314.8,Bank Transfer,12,Tablet,Ahmedabad,4,38,12,UPI,0
Re1Zd5Wc3Li3Ib5L,2996,2856.81,Online Purchase,23,Tablet,chennai,4,53,4,UPI,1
Wl1Io6Wq3Hw7Uh4M,4344,2056.61,POS Payment,6,Mobile,chennai,2,117,2,Debit Card,0
Tn7Xe2Zg2Eo0No0Q,4991,403.95,ATM Withdrawal,6,Desktop,mumbai,3,52,9,UPI,0
Tl6Wc0Cv2Jy8Ka8V,4129,3147.76,ATM Withdrawal,18,Mobile,hydrabad,1,95,8,Debit Card,0
Xi5Dw8Fy4Il0Wb8O,2351,499.89,POS Payment,19,Unknown Device,pune,0,77,1,,0
Fc1Xu9Dx4Tt5Sg9E,3033,3034.04,Bank Transfer,11,Tablet,chennai,4,96,5,Net Banking,0
Zd6Qi7Mr5Ej2Fb9W,2754,2537.51,Bill Payment,14,Desktop,Ahmedabad,4,108,3,Credit Card,0
He9Io4Jl4Nb8Go8A,1108,2470.87,Bank Transfer,17,Mobile,hydrabad,4,46,6,UPI,0
Vb7Ud4Km6Qy9Th8D,4350,342.14,Online Purchase,13,Tablet,Ahmedabad,4,83,6,UPI,0
Sd3Kv1Du8Bn8Kv4D,4757,3197.91,POS Payment,13,Tablet,delhi,1,25,14,Credit Card,0
Cb7Sp4Hx5Th8Qv7H,1327,2159.44,Bank Transfer,23,Tablet,pune,4,50,1,Debit Card,0
Wq8Ts6Wb3Az3Gi3T,2799,2058.48,Bill Payment,17,Tablet,bangalore,1,113,3,Credit Card,0
Cz9Pd0Qj8Le6Tw5F,1314,2984.27,Online Purchase,20,Desktop,bangalore,1,43,6,UPI,0
Cm5Hy5Vi6Jm2Fg7P,4545,3033.21,Bank Transfer,0,Tablet,Ahmedabad,3,11,12,Net Banking,0
Mq6Gr8Jk6Nu3Iu0O,2134,80.09,POS Payment,14,Desktop,chennai,0,107,7,UPI,0
Ar3Vz9Us5Ps5Fn9D,3746,630.5,Bill Payment,21,Unknown Device,chennai,1,79,8,Credit Card,0
By8By3Wm2Wy1Un9J,1780,1186.41,Bank Transfer,20,Tablet,kolkata,0,37,2,UPI,0
Jm6Au5Um4Jc8Af7N,4300,3391.5,POS Payment,10,Mobile,chennai,3,17,13,Credit Card,0
Hh3Fa4Gt2Co2La2M,2520,2885.82,POS Payment,17,Mobile,Ahmedabad,4,4,11,UPI,0
Dc3En5Xk3Ab4Jp9H,1155,3789.36,Bank Transfer,2,Desktop,chennai,2,62,5,Net Banking,0
Wp8Aq0Bz7Sg9En6A,2496,3704.34,Bank Transfer,19,Tablet,,1,61,10,Debit Card,0
Jj5Ho7Ni0Al5Fj2M,2724,4266.65,Bank Transfer,1,Tablet,bangalore,2,22,13,UPI,0
Om5Db0Yq9Fx6Aw3D,4343,1887.19,Bill Payment,19,,bangalore,2,97,11,UPI,0
Kg4Fi6Kd9Oq1Su3F,1886,1728.59,Bank Transfer,10,Desktop,bangalore,3,27,9,Credit Card,0
Fl5Ud8Ch6Tn3Gk6F,4073,4155.92,ATM Withdrawal,1,Desktop,Ahmedabad,1,27,7,UPI,0
Xg4Dp1Ur4Mx0Qd2M,3805,1191.82,Bank Transfer,2,Desktop,kolkata,2,51,4,Credit Card,0
Sn1Ve2Re6Bz5Ga6L,1721,2308.56,Online Purchase,0,Mobile,delhi,4,43,5,Debit Card,0
Yl3Xl6Nd1Vv1Lc2Y,4582,,ATM Withdrawal,2,Mobile,delhi,0,61,4,Debit Card,0
Nz1Md8Jo3Ga8Tt6E,1912,4569.63,Online Purchase,23,Desktop,hydrabad,4,27,14,UPI,0
